All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_STE,GPIO29,ERRORSTS,I2CB_SCL,HIC_NCS
2,GPIO28,,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,I2CB_SDA,HIC_NOE
3,XRSn,XRSn
4,A6/ C6,,AIO228,,,,AIO228,,,,AIO228,,,,AIO228,,,HIC_A0
4,A6/ C6,,AIO226,,,,AIO226,,,,AIO226,,,,AIO226,,,HIC_A1
5,A3/C5/VDAC,,AIO242,,,,AIO242,,,,AIO242,,,,AIO242,,,HIC_A2
6,A2/C9,,AIO224,,,,AIO224,,,,AIO224,,,,AIO224,,,HIC_A3
7,A15/C7,,AIO233,,,,AIO233,,,,AIO233,,,,AIO233,,,HIC_A4
8,A11/C0,,AIO237,,,,AIO237,,,,AIO237,,,,AIO237,,,HIC_A6
9,A5/C2,,AIO244,,,,AIO244,,,,AIO244,,,,AIO244,,,HIC_A7
10,A1,,AIO232,,,,AIO232,,,,AIO232,,,,AIO232,,,HIC_BASESEL0
11,A0/C15,,AIO231,,,,AIO231,,,,AIO231,,,,AIO231,,,HIC_BASESEL1
12,VREFHI,VREFHI
13,VREFLO,VREFLO
14,A12/C1,,AIO238,,,,AIO238,,,,AIO238,,,,AIO238,,,HIC_NCS
15,A7/C3,,AIO245,,,,AIO245,,,,AIO245,,,,AIO245,,,HIC_NOE
16,A8/C11,,AIO241,,,,AIO241,,,,AIO241,,,,AIO241,,,HIC_NBE1
17,VSSA,VSSA
18,VDDA,VDDA
19,A4/C14,,AIO225,,,,AIO225,,,,AIO225,,,,AIO225,,,HIC_NWE
20,A9/C8,,AIO227,,,,AIO227,,,,AIO227,,,,AIO227,,,HIC_NBE0
21,A10/C10,,AIO230,,,,AIO230,,,,AIO230,,,,AIO230,,,HIC_BASESEL2
22,VSS,VSS
